Store,Product,Date,Sales,Promo,Sales_Lag_1,Sales_Lag_7,Rolling_Mean_7,DayOfWeek,Month
Store_1,Product_A,2023-01-01,79,0,,,,6,1
Store_1,Product_A,2023-01-02,72,0,79.0,,,0,1
Store_1,Product_A,2023-01-03,72,0,72.0,,,1,1
Store_1,Product_A,2023-01-04,76,0,72.0,,,2,1
Store_1,Product_A,2023-01-05,68,0,76.0,,,3,1
Store_1,Product_A,2023-01-06,68,0,68.0,,,4,1
Store_1,Product_A,2023-01-07,72,0,68.0,,,5,1
Store_1,Product_A,2023-01-08,89,0,72.0,79.0,72.42857142857143,6,1
Store_1,Product_A,2023-01-09,68,0,89.0,72.0,73.85714285714286,0,1
Store_1,Product_A,2023-01-10,67,0,68.0,72.0,73.28571428571429,1,1
Store_1,Product_A,2023-01-11,67,0,67.0,76.0,72.57142857142857,2,1
Store_1,Product_A,2023-01-12,73,0,67.0,68.0,71.28571428571429,3,1
Store_1,Product_A,2023-01-13,71,0,73.0,68.0,72.0,4,1
Store_1,Product_A,2023-01-14,82,0,71.0,72.0,72.42857142857143,5,1
Store_1,Product_A,2023-01-15,82,0,82.0,89.0,73.85714285714286,6,1
Store_1,Product_A,2023-01-16,75,0,82.0,68.0,72.85714285714286,0,1
Store_1,Product_A,2023-01-17,65,0,75.0,67.0,73.85714285714286,1,1
Store_1,Product_A,2023-01-18,70,0,65.0,67.0,73.57142857142857,2,1
Store_1,Product_A,2023-01-19,69,0,70.0,73.0,74.0,3,1
Store_1,Product_A,2023-01-20,72,0,69.0,71.0,73.42857142857143,4,1
Store_1,Product_A,2023-01-21,99,0,72.0,82.0,73.57142857142857,5,1
Store_1,Product_A,2023-01-22,118,1,99.0,82.0,76.0,6,1
Store_1,Product_A,2023-01-23,93,1,118.0,75.0,81.14285714285714,0,1
Store_1,Product_A,2023-01-24,75,0,93.0,65.0,83.71428571428571,1,1
Store_1,Product_A,2023-01-25,65,0,75.0,70.0,85.14285714285714,2,1
Store_1,Product_A,2023-01-26,82,1,65.0,69.0,84.42857142857143,3,1
Store_1,Product_A,2023-01-27,64,0,82.0,72.0,86.28571428571429,4,1
Store_1,Product_A,2023-01-28,80,0,64.0,99.0,85.14285714285714,5,1
Store_1,Product_A,2023-01-29,88,0,80.0,118.0,82.42857142857143,6,1
Store_1,Product_A,2023-01-30,75,0,88.0,93.0,78.14285714285714,0,1
Store_1,Product_A,2023-01-31,69,0,75.0,75.0,75.57142857142857,1,1
Store_1,Product_A,2023-02-01,88,1,69.0,65.0,74.71428571428571,2,2
Store_1,Product_A,2023-02-02,63,0,88.0,82.0,78.0,3,2
Store_1,Product_A,2023-02-03,76,0,63.0,64.0,75.28571428571429,4,2
Store_1,Product_A,2023-02-04,91,0,76.0,80.0,77.0,5,2
Store_1,Product_A,2023-02-05,104,1,91.0,88.0,78.57142857142857,6,2
Store_1,Product_A,2023-02-06,65,0,104.0,75.0,80.85714285714286,0,2
Store_1,Product_A,2023-02-07,70,0,65.0,69.0,79.42857142857143,1,2
Store_1,Product_A,2023-02-08,78,0,70.0,88.0,79.57142857142857,2,2
Store_1,Product_A,2023-02-09,72,0,78.0,63.0,78.14285714285714,3,2
Store_1,Product_A,2023-02-10,69,0,72.0,76.0,79.42857142857143,4,2
Store_1,Product_A,2023-02-11,84,0,69.0,91.0,78.42857142857143,5,2
Store_1,Product_A,2023-02-12,78,0,84.0,104.0,77.42857142857143,6,2
Store_1,Product_A,2023-02-13,99,1,78.0,65.0,73.71428571428571,0,2
Store_1,Product_A,2023-02-14,68,0,99.0,70.0,78.57142857142857,1,2
Store_1,Product_A,2023-02-15,63,0,68.0,78.0,78.28571428571429,2,2
Store_1,Product_A,2023-02-16,69,0,63.0,72.0,76.14285714285714,3,2
Store_1,Product_A,2023-02-17,89,1,69.0,69.0,75.71428571428571,4,2
Store_1,Product_A,2023-02-18,114,1,89.0,84.0,78.57142857142857,5,2
Store_1,Product_A,2023-02-19,118,1,114.0,78.0,82.85714285714286,6,2
Store_1,Product_A,2023-02-20,101,1,118.0,99.0,88.57142857142857,0,2
Store_1,Product_A,2023-02-21,71,0,101.0,68.0,88.85714285714286,1,2
Store_1,Product_A,2023-02-22,69,0,71.0,63.0,89.28571428571429,2,2
Store_1,Product_A,2023-02-23,89,1,69.0,69.0,90.14285714285714,3,2
Store_1,Product_A,2023-02-24,57,0,89.0,89.0,93.0,4,2
Store_1,Product_A,2023-02-25,86,0,57.0,114.0,88.42857142857143,5,2
Store_1,Product_A,2023-02-26,87,0,86.0,118.0,84.42857142857143,6,2
Store_1,Product_A,2023-02-27,70,0,87.0,101.0,80.0,0,2
Store_1,Product_A,2023-02-28,86,1,70.0,71.0,75.57142857142857,1,2
Store_1,Product_A,2023-03-01,101,1,86.0,69.0,77.71428571428571,2,3
Store_1,Product_A,2023-03-02,70,0,101.0,89.0,82.28571428571429,3,3
Store_1,Product_A,2023-03-03,62,0,70.0,57.0,79.57142857142857,4,3
Store_1,Product_A,2023-03-04,85,0,62.0,86.0,80.28571428571429,5,3
Store_1,Product_A,2023-03-05,83,0,85.0,87.0,80.14285714285714,6,3
Store_1,Product_A,2023-03-06,73,0,83.0,70.0,79.57142857142857,0,3
Store_1,Product_A,2023-03-07,69,0,73.0,86.0,80.0,1,3
Store_1,Product_A,2023-03-08,72,0,69.0,101.0,77.57142857142857,2,3
Store_1,Product_A,2023-03-09,70,0,72.0,70.0,73.42857142857143,3,3
Store_1,Product_A,2023-03-10,67,0,70.0,62.0,73.42857142857143,4,3
Store_1,Product_A,2023-03-11,89,0,67.0,85.0,74.14285714285714,5,3
Store_1,Product_A,2023-03-12,92,0,89.0,83.0,74.71428571428571,6,3
Store_1,Product_A,2023-03-13,77,0,92.0,73.0,76.0,0,3
Store_1,Product_A,2023-03-14,68,0,77.0,69.0,76.57142857142857,1,3
Store_1,Product_A,2023-03-15,75,0,68.0,72.0,76.42857142857143,2,3
Store_1,Product_A,2023-03-16,79,0,75.0,70.0,76.85714285714286,3,3
Store_1,Product_A,2023-03-17,75,0,79.0,67.0,78.14285714285714,4,3
Store_1,Product_A,2023-03-18,88,0,75.0,89.0,79.28571428571429,5,3
Store_1,Product_A,2023-03-19,79,0,88.0,92.0,79.14285714285714,6,3
Store_1,Product_A,2023-03-20,74,0,79.0,77.0,77.28571428571429,0,3
Store_1,Product_A,2023-03-21,70,0,74.0,68.0,76.85714285714286,1,3
Store_1,Product_A,2023-03-22,69,0,70.0,75.0,77.14285714285714,2,3
Store_1,Product_A,2023-03-23,95,1,69.0,79.0,76.28571428571429,3,3
Store_1,Product_A,2023-03-24,77,0,95.0,75.0,78.57142857142857,4,3
Store_1,Product_A,2023-03-25,97,0,77.0,88.0,78.85714285714286,5,3
Store_1,Product_A,2023-03-26,77,0,97.0,79.0,80.14285714285714,6,3
Store_1,Product_A,2023-03-27,76,0,77.0,74.0,79.85714285714286,0,3
Store_1,Product_A,2023-03-28,74,0,76.0,70.0,80.14285714285714,1,3
Store_1,Product_A,2023-03-29,77,0,74.0,69.0,80.71428571428571,2,3
Store_1,Product_A,2023-03-30,72,0,77.0,95.0,81.85714285714286,3,3
Store_1,Product_A,2023-03-31,75,0,72.0,77.0,78.57142857142857,4,3
Store_1,Product_A,2023-04-01,86,0,75.0,97.0,78.28571428571429,5,4
